batch_size,lr,optimizer,model,model_params,mixup_alpha,smoothing_prob,num_params,best_val_acc_mean,best_val_acc_std,final_val_acc_mean,final_val_acc_std,test_acc_mean,test_acc_std
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 30, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 1}",0.4,0.5,73544,1.0,0.0,1.0,0.0,0.86,0.03606
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 30, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.0,0.0,172872,1.0,0.0,1.0,0.0,0.96333,0.03055
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 30, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.0,0.5,172872,1.0,0.0,1.0,0.0,0.95333,0.02517
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 30, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.4,0.0,172872,1.0,0.0,0.99667,0.00577,0.89,0.02
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 30, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.4,0.5,172872,1.0,0.0,0.99667,0.00577,0.91667,0.06429
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 30},0.0,0.0,1872531,1.0,0.0,1.0,0.0,0.81667,0.13429
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 30},0.0,0.5,1872531,1.0,0.0,1.0,0.0,0.93667,0.06658
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 30},0.4,0.0,1872531,1.0,0.0,1.0,0.0,0.79667,0.06429
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 30},0.4,0.5,1872531,1.0,0.0,1.0,0.0,0.75,0.20881
32,0.0007,adam,CustomResNet1D,{'input_channels': 30},0.0,0.0,1872519,1.0,0.0,1.0,0.0,0.92667,0.06429
32,0.0007,adam,CustomResNet1D,{'input_channels': 30},0.0,0.5,1872519,1.0,0.0,1.0,0.0,0.85333,0.08083
32,0.0007,adam,CustomResNet1D,{'input_channels': 30},0.4,0.0,1872519,1.0,0.0,0.99667,0.00577,0.95,0.06083
32,0.0007,adam,CustomResNet1D,{'input_channels': 30},0.4,0.5,1872519,1.0,0.0,1.0,0.0,0.85333,0.15885
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.2}",0.0,0.0,82823,0.92667,0.00577,0.90667,0.01155,0.85333,0.01528
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.2}",0.0,0.5,82823,0.91,0.0,0.9,0.0,0.86667,0.03215
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.2}",0.4,0.0,82823,0.90333,0.01528,0.88667,0.02309,0.78333,0.01528
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.2}",0.4,0.5,82823,0.89667,0.00577,0.87667,0.02082,0.83,0.03606
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.5}",0.0,0.0,82823,0.90667,0.01528,0.88,0.02646,0.84333,0.03786
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.5}",0.0,0.5,82823,0.89333,0.01155,0.86667,0.01528,0.83667,0.03512
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.5}",0.4,0.0,82823,0.89667,0.00577,0.88667,0.01155,0.78333,0.04163
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.5}",0.4,0.5,82823,0.88667,0.01528,0.87333,0.02517,0.82667,0.04933
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.2}",0.0,0.0,165639,0.90333,0.00577,0.89667,0.00577,0.80333,0.05132
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.2}",0.0,0.5,165639,0.89667,0.00577,0.89333,0.00577,0.84,0.02646
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.2}",0.4,0.0,165639,0.9,0.0,0.9,0.0,0.82,0.04359
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.2}",0.4,0.5,165639,0.90333,0.00577,0.88667,0.00577,0.84,0.0
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.5}",0.0,0.0,165639,0.90333,0.00577,0.87667,0.03055,0.79,0.02646
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.5}",0.0,0.5,165639,0.90667,0.00577,0.89,0.01,0.83,0.05292
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.5}",0.4,0.0,165639,0.9,0.01,0.89333,0.00577,0.79,0.06083
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.5}",0.4,0.5,165639,0.9,0.0,0.88667,0.01155,0.82,0.05568
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.2}",0.0,0.0,214919,0.88,0.03464,0.81333,0.06658,0.76667,0.00577
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.2}",0.0,0.5,214919,0.81,0.02646,0.77333,0.00577,0.75333,0.01528
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.2}",0.4,0.0,214919,0.85333,0.00577,0.82667,0.03215,0.75,0.02646
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.2}",0.4,0.5,214919,0.88,0.03606,0.81,0.03606,0.77667,0.04041
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.5}",0.0,0.0,214919,0.79667,0.01528,0.78333,0.01528,0.69333,0.08145
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.5}",0.0,0.5,214919,0.85,0.06,0.78333,0.01155,0.68667,0.1193
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.5}",0.4,0.0,214919,0.84333,0.04933,0.79,0.02,0.76333,0.01155
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.5}",0.4,0.5,214919,0.82,0.02646,0.77,0.01,0.75667,0.01528
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 30, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': True, 'dropout': 0.2}",0.0,0.0,560903,0.90667,0.01155,0.90333,0.00577,0.77667,0.09866
