batch_size,lr,optimizer,model,model_params,mixup_alpha,smoothing_prob,num_params,best_val_acc_mean,best_val_acc_std,final_val_acc_mean,final_val_acc_std,test_acc_mean,test_acc_std
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 60, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 1}",0.4,0.5,80981,0.99,0.0,0.97333,0.01528,0.94667,0.01155
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 60, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.0,0.0,180309,0.97667,0.01155,0.97,0.0,0.89333,0.04041
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 60, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.0,0.5,180309,0.97667,0.01155,0.97667,0.01155,0.91667,0.03215
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 60, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.4,0.0,180309,0.98333,0.01155,0.98333,0.01155,0.92,0.01732
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 60, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.4,0.5,180309,0.98333,0.01155,0.96667,0.02517,0.90333,0.00577
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 60},0.0,0.0,1906080,0.97,0.0,0.96,0.0,0.93667,0.00577
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 60},0.0,0.5,1906080,0.98,0.01732,0.95333,0.01155,0.93667,0.00577
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 60},0.4,0.0,1906080,0.99,0.0,0.97,0.01732,0.88667,0.01155
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 60},0.4,0.5,1906080,0.99,0.0,0.97667,0.01155,0.90667,0.00577
32,0.0007,adam,CustomResNet1D,{'input_channels': 60},0.0,0.0,1906068,0.99,0.0,0.97667,0.01155,0.91667,0.02082
