batch_size,lr,optimizer,model,model_params,mixup_alpha,smoothing_prob,num_params,best_val_acc_mean,best_val_acc_std,final_val_acc_mean,final_val_acc_std,test_acc_mean,test_acc_std
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 52, 'cnn_channels': 64, 'lstm_hidden_dim': 128, 'lstm_layers': 2}",0.4,0.5,608979,0.96,0.01732,0.95667,0.01155,0.87,0.04359
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 52, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 1}",0.0,0.0,79187,0.92667,0.01155,0.91,0.01732,0.86667,0.06429
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 52, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 1}",0.0,0.5,79187,0.91,0.02646,0.88333,0.05132,0.78333,0.05859
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 52, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 1}",0.4,0.0,79187,0.96333,0.01155,0.93667,0.01528,0.86,0.05292
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 52, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 1}",0.4,0.5,79187,0.97667,0.00577,0.96333,0.01155,0.87,0.03
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 52, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.0,0.0,178515,0.93667,0.03512,0.88667,0.02887,0.77333,0.01528
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 52, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.0,0.5,178515,0.96333,0.02082,0.95333,0.02309,0.86,0.06083
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 52, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.4,0.0,178515,0.96667,0.02309,0.94333,0.04041,0.91,0.01732
32,0.0007,adam,CNN_BiLSTM_TemporalAttention,"{'input_dim': 52, 'cnn_channels': 64, 'lstm_hidden_dim': 64, 'lstm_layers': 2}",0.4,0.5,178515,0.97,0.0,0.95667,0.01155,0.84333,0.06429
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 52},0.0,0.0,1897886,0.98667,0.01155,0.97333,0.02517,0.96333,0.02082
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 52},0.0,0.5,1897886,0.98,0.0,0.98,0.0,0.94333,0.00577
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 52},0.4,0.0,1897886,0.98,0.0,0.97333,0.00577,0.94333,0.00577
32,0.0007,adam,CustomECAResNet1D,{'input_channels': 52},0.4,0.5,1897886,0.98,0.0,0.97,0.01732,0.93,0.02646
32,0.0007,adam,CustomResNet1D,{'input_channels': 52},0.0,0.0,1897874,0.98667,0.01155,0.98333,0.01528,0.94333,0.00577
32,0.0007,adam,CustomResNet1D,{'input_channels': 52},0.0,0.5,1897874,1.0,0.0,0.99333,0.01155,0.89333,0.07371
32,0.0007,adam,CustomResNet1D,{'input_channels': 52},0.4,0.0,1897874,0.98667,0.01155,0.98333,0.01528,0.92333,0.02887
32,0.0007,adam,CustomResNet1D,{'input_channels': 52},0.4,0.5,1897874,0.98,0.0,0.97667,0.00577,0.93667,0.01528
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.2}",0.0,0.0,95506,0.63333,0.04619,0.58,0.04359,0.57,0.08544
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.2}",0.0,0.5,95506,0.65667,0.04933,0.63333,0.06658,0.61,0.05292
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.2}",0.4,0.0,95506,0.66667,0.01155,0.61667,0.04041,0.62333,0.02309
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.2}",0.4,0.5,95506,0.67333,0.02082,0.63,0.03,0.58667,0.08145
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.5}",0.0,0.0,95506,0.65,0.03464,0.57333,0.02309,0.61333,0.04163
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.5}",0.0,0.5,95506,0.69,0.01732,0.61,0.08,0.59667,0.05686
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.5}",0.4,0.0,95506,0.69333,0.01528,0.64667,0.01528,0.66333,0.01528
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': False, 'dropout': 0.5}",0.4,0.5,95506,0.71,0.03,0.68333,0.03055,0.65667,0.04041
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.2}",0.0,0.0,190994,0.66667,0.03215,0.61333,0.01528,0.64,0.01732
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.2}",0.0,0.5,190994,0.68,0.04359,0.67,0.05292,0.62333,0.03215
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.2}",0.4,0.0,190994,0.64667,0.01528,0.60667,0.04509,0.62333,0.07024
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.2}",0.4,0.5,190994,0.65333,0.00577,0.62333,0.05508,0.58333,0.06506
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.5}",0.0,0.0,190994,0.70333,0.02309,0.67667,0.01528,0.68,0.01732
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.5}",0.0,0.5,190994,0.67333,0.05132,0.63333,0.07371,0.62,0.05196
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.5}",0.4,0.0,190994,0.7,0.01732,0.65667,0.06807,0.58,0.07
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 1, 'bidirectional': True, 'dropout': 0.5}",0.4,0.5,190994,0.66,0.01732,0.63333,0.04041,0.56333,0.01528
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.2}",0.0,0.0,227602,0.63,0.04359,0.53667,0.06351,0.49667,0.02887
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.2}",0.0,0.5,227602,0.62667,0.02517,0.55,0.04359,0.6,0.06928
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.2}",0.4,0.0,227602,0.67333,0.04041,0.65,0.06083,0.62,0.03606
32,0.0007,adam,LSTM_HumanFi,"{'input_dim': 52, 'hidden_dim': 128, 'num_layers': 2, 'bidirectional': False, 'dropout': 0.2}",0.4,0.5,227602,0.65667,0.02517,0.6,0.03606,0.56667,0.04163
