2025-03-12T16:29:56.806575,"[101.0, 82.0, 95.0, 63.0, 98.0, 67.0, 61.0, 27.0, 78.0, 78.0, 86.0, 94.0, 70.0, 70.0, 58.0, 47.0, 76.0, 87.0, 69.0, 54.0, 79.0, 55.0, 89.0, 43.0, 85.0, 60.0, 69.0, 29.0, 75.0, 64.0, 72.0, 68.0]",2025-03-12T16:29:56.800761,"[77.0, 76.0, 76.0, 77.0, 68.0, 71.0, 51.0, 71.0, 73.0, 66.0, 76.0, 73.0, 76.0, 70.0, 74.0, 72.0, 65.0, 68.0, 60.0, 66.0, 67.0, 63.0, 72.0, 59.0, 76.0, 64.0, 67.0, 47.0, 70.0, 67.0, 69.0, 75.0]"
2025-03-12T16:29:56.876527,"[102.0, 83.0, 97.0, 63.0, 99.0, 67.0, 61.0, 28.0, 81.0, 80.0, 89.0, 95.0, 68.0, 69.0, 56.0, 47.0, 77.0, 86.0, 67.0, 56.0, 80.0, 57.0, 91.0, 44.0, 87.0, 58.0, 70.0, 32.0, 78.0, 64.0, 74.0, 71.0]",2025-03-12T16:29:56.885911,"[78.0, 75.0, 75.0, 77.0, 68.0, 72.0, 51.0, 71.0, 74.0, 66.0, 76.0, 73.0, 76.0, 71.0, 76.0, 71.0, 65.0, 68.0, 60.0, 69.0, 69.0, 66.0, 73.0, 60.0, 76.0, 63.0, 68.0, 47.0, 70.0, 69.0, 68.0, 74.0]"
2025-03-12T16:29:56.956534,"[96.0, 82.0, 94.0, 61.0, 93.0, 61.0, 52.0, 26.0, 75.0, 74.0, 82.0, 91.0, 65.0, 65.0, 48.0, 42.0, 69.0, 81.0, 59.0, 50.0, 73.0, 48.0, 80.0, 35.0, 77.0, 50.0, 62.0, 20.0, 66.0, 52.0, 57.0, 55.0]",2025-03-12T16:29:56.959393,"[79.0, 75.0, 76.0, 76.0, 67.0, 71.0, 50.0, 70.0, 72.0, 66.0, 76.0, 74.0, 76.0, 69.0, 76.0, 72.0, 65.0, 68.0, 59.0, 66.0, 67.0, 63.0, 73.0, 59.0, 76.0, 61.0, 67.0, 44.0, 68.0, 66.0, 67.0, 72.0]"
2025-03-12T16:29:57.025212,"[98.0, 81.0, 94.0, 62.0, 95.0, 64.0, 56.0, 27.0, 78.0, 76.0, 85.0, 93.0, 67.0, 67.0, 50.0, 44.0, 71.0, 84.0, 63.0, 52.0, 74.0, 50.0, 85.0, 38.0, 81.0, 52.0, 63.0, 23.0, 70.0, 55.0, 60.0, 60.0]",2025-03-12T16:29:57.039330,"[75.0, 74.0, 75.0, 77.0, 65.0, 70.0, 49.0, 67.0, 72.0, 64.0, 74.0, 69.0, 72.0, 66.0, 71.0, 68.0, 61.0, 66.0, 56.0, 62.0, 65.0, 61.0, 68.0, 54.0, 73.0, 59.0, 64.0, 42.0, 65.0, 63.0, 64.0, 72.0]"
2025-03-12T16:29:57.095343,"[103.0, 84.0, 97.0, 65.0, 99.0, 69.0, 60.0, 28.0, 82.0, 83.0, 92.0, 99.0, 73.0, 71.0, 62.0, 50.0, 81.0, 91.0, 73.0, 58.0, 83.0, 59.0, 95.0, 47.0, 90.0, 62.0, 75.0, 33.0, 79.0, 68.0, 78.0, 76.0]",2025-03-12T16:29:57.120504,"[78.0, 76.0, 77.0, 76.0, 66.0, 71.0, 51.0, 71.0, 73.0, 67.0, 75.0, 73.0, 76.0, 69.0, 74.0, 71.0, 65.0, 67.0, 60.0, 68.0, 69.0, 64.0, 73.0, 60.0, 76.0, 63.0, 68.0, 48.0, 69.0, 69.0, 71.0, 75.0]"
2025-03-12T16:29:57.166314,"[100.0, 82.0, 94.0, 63.0, 97.0, 64.0, 55.0, 26.0, 78.0, 77.0, 86.0, 91.0, 68.0, 66.0, 54.0, 44.0, 73.0, 87.0, 66.0, 53.0, 76.0, 52.0, 89.0, 40.0, 82.0, 55.0, 67.0, 27.0, 72.0, 58.0, 65.0, 62.0]",2025-03-12T16:29:57.193156,"[76.0, 75.0, 75.0, 75.0, 66.0, 68.0, 48.0, 66.0, 73.0, 63.0, 75.0, 71.0, 74.0, 67.0, 71.0, 69.0, 61.0, 67.0, 57.0, 64.0, 65.0, 62.0, 68.0, 55.0, 74.0, 58.0, 65.0, 43.0, 67.0, 65.0, 64.0, 71.0]"
2025-03-12T16:29:57.235221,"[101.0, 82.0, 97.0, 63.0, 100.0, 68.0, 59.0, 26.0, 79.0, 78.0, 85.0, 93.0, 70.0, 68.0, 56.0, 46.0, 76.0, 88.0, 68.0, 53.0, 77.0, 54.0, 88.0, 40.0, 83.0, 57.0, 68.0, 25.0, 72.0, 59.0, 65.0, 62.0]",2025-03-12T16:29:57.269194,"[76.0, 75.0, 75.0, 76.0, 67.0, 70.0, 50.0, 68.0, 74.0, 64.0, 75.0, 72.0, 75.0, 70.0, 74.0, 70.0, 63.0, 67.0, 60.0, 66.0, 66.0, 63.0, 71.0, 57.0, 75.0, 61.0, 66.0, 43.0, 66.0, 65.0, 66.0, 72.0]"
2025-03-12T16:29:57.307117,"[102.0, 82.0, 98.0, 63.0, 99.0, 70.0, 60.0, 28.0, 81.0, 79.0, 85.0, 94.0, 70.0, 69.0, 54.0, 47.0, 77.0, 86.0, 66.0, 55.0, 80.0, 55.0, 93.0, 41.0, 84.0, 59.0, 70.0, 27.0, 73.0, 62.0, 67.0, 63.0]",2025-03-12T16:29:57.340701,"[79.0, 74.0, 75.0, 77.0, 67.0, 73.0, 52.0, 71.0, 75.0, 67.0, 76.0, 75.0, 76.0, 70.0, 76.0, 73.0, 66.0, 67.0, 62.0, 69.0, 71.0, 66.0, 75.0, 63.0, 77.0, 66.0, 69.0, 50.0, 71.0, 69.0, 73.0, 76.0]"
2025-03-12T16:29:57.386436,"[102.0, 85.0, 96.0, 63.0, 99.0, 67.0, 58.0, 27.0, 79.0, 79.0, 86.0, 94.0, 67.0, 67.0, 51.0, 44.0, 71.0, 86.0, 63.0, 52.0, 76.0, 50.0, 85.0, 38.0, 83.0, 54.0, 64.0, 23.0, 70.0, 54.0, 59.0, 58.0]",2025-03-12T16:29:57.409309,"[77.0, 74.0, 75.0, 77.0, 67.0, 71.0, 50.0, 71.0, 74.0, 67.0, 76.0, 74.0, 76.0, 69.0, 74.0, 72.0, 65.0, 66.0, 60.0, 67.0, 67.0, 64.0, 73.0, 60.0, 76.0, 63.0, 67.0, 44.0, 70.0, 67.0, 66.0, 73.0]"
2025-03-12T16:29:57.456552,"[104.0, 86.0, 97.0, 65.0, 100.0, 69.0, 62.0, 27.0, 78.0, 81.0, 89.0, 99.0, 73.0, 71.0, 61.0, 49.0, 82.0, 91.0, 71.0, 58.0, 85.0, 62.0, 97.0, 46.0, 90.0, 61.0, 74.0, 34.0, 82.0, 67.0, 79.0, 71.0]",2025-03-12T16:29:57.480576,"[77.0, 75.0, 75.0, 75.0, 66.0, 70.0, 49.0, 69.0, 73.0, 66.0, 77.0, 73.0, 76.0, 70.0, 75.0, 72.0, 65.0, 69.0, 61.0, 67.0, 69.0, 64.0, 73.0, 60.0, 77.0, 65.0, 69.0, 49.0, 71.0, 69.0, 70.0, 75.0]"
