2025-03-13T16:53:03.995586,"[89.0, 84.0, 89.0, 80.0, 91.0, 78.0, 70.0, 47.0, 85.0, 79.0, 86.0, 83.0, 76.0, 78.0, 64.0, 63.0, 80.0, 82.0, 68.0, 69.0, 75.0, 67.0, 82.0, 52.0, 81.0, 68.0, 74.0, 41.0, 76.0, 69.0, 67.0, 70.0]",2025-03-13T16:53:03.994590,"[97.0, 77.0, 81.0, 104.0, 58.0, 72.0, 28.0, 54.0, 69.0, 50.0, 82.0, 69.0, 89.0, 56.0, 90.0, 64.0, 47.0, 48.0, 42.0, 56.0, 65.0, 49.0, 80.0, 41.0, 84.0, 48.0, 54.0, 31.0, 63.0, 58.0, 70.0, 80.0]"
2025-03-13T16:53:04.085632,"[90.0, 86.0, 90.0, 81.0, 92.0, 81.0, 77.0, 48.0, 86.0, 84.0, 86.0, 86.0, 80.0, 78.0, 68.0, 68.0, 87.0, 85.0, 74.0, 75.0, 80.0, 74.0, 87.0, 60.0, 85.0, 72.0, 79.0, 47.0, 79.0, 75.0, 74.0, 76.0]",2025-03-13T16:53:04.069691,"[99.0, 77.0, 82.0, 100.0, 58.0, 70.0, 30.0, 54.0, 68.0, 50.0, 82.0, 68.0, 90.0, 56.0, 89.0, 65.0, 46.0, 49.0, 42.0, 56.0, 65.0, 49.0, 81.0, 38.0, 82.0, 47.0, 55.0, 30.0, 62.0, 58.0, 71.0, 78.0]"
2025-03-13T16:53:04.165614,"[89.0, 86.0, 91.0, 80.0, 91.0, 81.0, 75.0, 51.0, 87.0, 83.0, 87.0, 87.0, 80.0, 78.0, 67.0, 69.0, 83.0, 85.0, 72.0, 74.0, 79.0, 74.0, 86.0, 60.0, 84.0, 74.0, 79.0, 52.0, 81.0, 78.0, 78.0, 79.0]",2025-03-13T16:53:04.145737,"[97.0, 75.0, 82.0, 101.0, 57.0, 69.0, 29.0, 54.0, 68.0, 49.0, 80.0, 66.0, 86.0, 57.0, 89.0, 64.0, 44.0, 46.0, 45.0, 55.0, 63.0, 47.0, 79.0, 39.0, 84.0, 45.0, 54.0, 29.0, 60.0, 56.0, 65.0, 77.0]"
2025-03-13T16:53:04.245605,"[91.0, 86.0, 90.0, 82.0, 92.0, 84.0, 79.0, 51.0, 88.0, 85.0, 88.0, 89.0, 81.0, 81.0, 73.0, 72.0, 87.0, 87.0, 78.0, 76.0, 83.0, 80.0, 91.0, 68.0, 90.0, 77.0, 83.0, 56.0, 87.0, 82.0, 83.0, 83.0]",2025-03-13T16:53:04.224638,"[106.0, 85.0, 89.0, 112.0, 66.0, 80.0, 34.0, 60.0, 76.0, 57.0, 92.0, 78.0, 97.0, 65.0, 100.0, 72.0, 53.0, 52.0, 51.0, 61.0, 70.0, 54.0, 87.0, 42.0, 95.0, 51.0, 60.0, 31.0, 69.0, 64.0, 76.0, 83.0]"
2025-03-13T16:53:04.315713,"[87.0, 84.0, 87.0, 78.0, 89.0, 78.0, 73.0, 50.0, 85.0, 82.0, 86.0, 86.0, 78.0, 77.0, 65.0, 68.0, 82.0, 82.0, 73.0, 72.0, 75.0, 73.0, 84.0, 57.0, 85.0, 71.0, 75.0, 47.0, 77.0, 72.0, 71.0, 71.0]",2025-03-13T16:53:04.294625,"[96.0, 73.0, 79.0, 100.0, 58.0, 69.0, 28.0, 53.0, 68.0, 48.0, 82.0, 67.0, 87.0, 56.0, 88.0, 63.0, 46.0, 47.0, 42.0, 56.0, 64.0, 47.0, 81.0, 40.0, 84.0, 45.0, 55.0, 31.0, 62.0, 57.0, 70.0, 78.0]"
2025-03-13T16:53:04.395664,"[96.0, 92.0, 97.0, 86.0, 98.0, 86.0, 82.0, 53.0, 91.0, 89.0, 95.0, 93.0, 84.0, 85.0, 72.0, 74.0, 90.0, 92.0, 76.0, 79.0, 85.0, 81.0, 93.0, 65.0, 90.0, 78.0, 85.0, 51.0, 85.0, 80.0, 76.0, 78.0]",2025-03-13T16:53:04.365890,"[95.0, 74.0, 81.0, 100.0, 55.0, 66.0, 28.0, 53.0, 66.0, 48.0, 81.0, 68.0, 87.0, 57.0, 87.0, 64.0, 47.0, 48.0, 45.0, 57.0, 64.0, 48.0, 80.0, 41.0, 85.0, 44.0, 54.0, 30.0, 62.0, 56.0, 69.0, 78.0]"
2025-03-13T16:53:04.475604,"[94.0, 92.0, 96.0, 86.0, 99.0, 83.0, 76.0, 54.0, 91.0, 85.0, 89.0, 89.0, 82.0, 85.0, 68.0, 70.0, 87.0, 88.0, 73.0, 74.0, 78.0, 73.0, 88.0, 56.0, 84.0, 72.0, 78.0, 42.0, 75.0, 73.0, 68.0, 72.0]",2025-03-13T16:53:04.455953,"[107.0, 85.0, 89.0, 111.0, 64.0, 78.0, 33.0, 61.0, 74.0, 53.0, 89.0, 75.0, 96.0, 64.0, 96.0, 71.0, 49.0, 54.0, 46.0, 60.0, 69.0, 50.0, 84.0, 39.0, 90.0, 46.0, 57.0, 31.0, 67.0, 60.0, 71.0, 84.0]"
2025-03-13T16:53:04.555588,"[96.0, 88.0, 95.0, 87.0, 98.0, 89.0, 82.0, 56.0, 93.0, 89.0, 95.0, 94.0, 86.0, 85.0, 72.0, 74.0, 90.0, 91.0, 79.0, 79.0, 83.0, 78.0, 92.0, 64.0, 91.0, 76.0, 82.0, 51.0, 80.0, 77.0, 78.0, 79.0]",2025-03-13T16:53:04.535923,"[105.0, 84.0, 92.0, 113.0, 65.0, 78.0, 33.0, 59.0, 75.0, 53.0, 89.0, 75.0, 96.0, 62.0, 94.0, 71.0, 51.0, 52.0, 46.0, 61.0, 68.0, 52.0, 83.0, 43.0, 92.0, 48.0, 59.0, 30.0, 68.0, 61.0, 74.0, 86.0]"
2025-03-13T16:53:04.625609,"[89.0, 85.0, 91.0, 82.0, 93.0, 83.0, 78.0, 51.0, 88.0, 84.0, 87.0, 89.0, 79.0, 80.0, 70.0, 70.0, 87.0, 86.0, 75.0, 76.0, 81.0, 77.0, 89.0, 65.0, 88.0, 74.0, 83.0, 52.0, 83.0, 79.0, 79.0, 80.0]",2025-03-13T16:53:04.605877,"[95.0, 76.0, 80.0, 102.0, 56.0, 69.0, 29.0, 53.0, 68.0, 49.0, 82.0, 66.0, 86.0, 56.0, 85.0, 62.0, 44.0, 46.0, 43.0, 53.0, 63.0, 47.0, 74.0, 37.0, 83.0, 44.0, 50.0, 28.0, 59.0, 55.0, 63.0, 76.0]"
2025-03-13T16:53:04.705621,"[90.0, 86.0, 90.0, 82.0, 92.0, 82.0, 75.0, 51.0, 85.0, 82.0, 87.0, 87.0, 78.0, 78.0, 67.0, 69.0, 83.0, 85.0, 72.0, 74.0, 78.0, 72.0, 85.0, 58.0, 81.0, 72.0, 78.0, 45.0, 75.0, 71.0, 70.0, 72.0]",2025-03-13T16:53:04.675922,"[108.0, 86.0, 90.0, 111.0, 67.0, 82.0, 34.0, 64.0, 76.0, 58.0, 96.0, 78.0, 101.0, 67.0, 104.0, 74.0, 56.0, 53.0, 53.0, 64.0, 75.0, 58.0, 95.0, 50.0, 96.0, 56.0, 66.0, 36.0, 76.0, 68.0, 84.0, 91.0]"
