2025-03-13T16:53:04.294625,"[96.0, 73.0, 79.0, 100.0, 58.0, 69.0, 28.0, 53.0, 68.0, 48.0, 82.0, 67.0, 87.0, 56.0, 88.0, 63.0, 46.0, 47.0, 42.0, 56.0, 64.0, 47.0, 81.0, 40.0, 84.0, 45.0, 55.0, 31.0, 62.0, 57.0, 70.0, 78.0]"
2025-03-13T16:53:04.365890,"[95.0, 74.0, 81.0, 100.0, 55.0, 66.0, 28.0, 53.0, 66.0, 48.0, 81.0, 68.0, 87.0, 57.0, 87.0, 64.0, 47.0, 48.0, 45.0, 57.0, 64.0, 48.0, 80.0, 41.0, 85.0, 44.0, 54.0, 30.0, 62.0, 56.0, 69.0, 78.0]"
2025-03-13T16:53:04.455953,"[107.0, 85.0, 89.0, 111.0, 64.0, 78.0, 33.0, 61.0, 74.0, 53.0, 89.0, 75.0, 96.0, 64.0, 96.0, 71.0, 49.0, 54.0, 46.0, 60.0, 69.0, 50.0, 84.0, 39.0, 90.0, 46.0, 57.0, 31.0, 67.0, 60.0, 71.0, 84.0]"
2025-03-13T16:53:04.535923,"[105.0, 84.0, 92.0, 113.0, 65.0, 78.0, 33.0, 59.0, 75.0, 53.0, 89.0, 75.0, 96.0, 62.0, 94.0, 71.0, 51.0, 52.0, 46.0, 61.0, 68.0, 52.0, 83.0, 43.0, 92.0, 48.0, 59.0, 30.0, 68.0, 61.0, 74.0, 86.0]"
2025-03-13T16:53:04.605877,"[95.0, 76.0, 80.0, 102.0, 56.0, 69.0, 29.0, 53.0, 68.0, 49.0, 82.0, 66.0, 86.0, 56.0, 85.0, 62.0, 44.0, 46.0, 43.0, 53.0, 63.0, 47.0, 74.0, 37.0, 83.0, 44.0, 50.0, 28.0, 59.0, 55.0, 63.0, 76.0]"
2025-03-13T16:53:04.675922,"[108.0, 86.0, 90.0, 111.0, 67.0, 82.0, 34.0, 64.0, 76.0, 58.0, 96.0, 78.0, 101.0, 67.0, 104.0, 74.0, 56.0, 53.0, 53.0, 64.0, 75.0, 58.0, 95.0, 50.0, 96.0, 56.0, 66.0, 36.0, 76.0, 68.0, 84.0, 91.0]"
2025-03-13T16:53:04.746033,"[96.0, 74.0, 80.0, 101.0, 58.0, 71.0, 29.0, 52.0, 67.0, 49.0, 81.0, 66.0, 87.0, 56.0, 86.0, 62.0, 45.0, 46.0, 43.0, 56.0, 63.0, 47.0, 78.0, 38.0, 83.0, 43.0, 52.0, 28.0, 61.0, 56.0, 69.0, 77.0]"
2025-03-13T16:53:04.825826,"[95.0, 75.0, 79.0, 102.0, 56.0, 69.0, 29.0, 52.0, 66.0, 49.0, 80.0, 67.0, 88.0, 57.0, 89.0, 65.0, 45.0, 46.0, 44.0, 56.0, 65.0, 47.0, 83.0, 41.0, 83.0, 48.0, 55.0, 31.0, 64.0, 58.0, 71.0, 79.0]"
2025-03-13T16:53:04.904679,"[99.0, 76.0, 82.0, 100.0, 58.0, 72.0, 30.0, 55.0, 67.0, 49.0, 81.0, 71.0, 90.0, 59.0, 89.0, 66.0, 48.0, 47.0, 45.0, 57.0, 64.0, 49.0, 82.0, 43.0, 85.0, 49.0, 56.0, 33.0, 66.0, 60.0, 72.0, 77.0]"
2025-03-13T16:53:04.984616,"[97.0, 75.0, 81.0, 102.0, 58.0, 72.0, 29.0, 54.0, 66.0, 49.0, 82.0, 70.0, 87.0, 59.0, 90.0, 63.0, 46.0, 46.0, 44.0, 56.0, 63.0, 50.0, 82.0, 42.0, 85.0, 47.0, 54.0, 31.0, 63.0, 60.0, 72.0, 78.0]"
2025-03-13T16:53:05.055494,"[95.0, 72.0, 80.0, 101.0, 57.0, 68.0, 28.0, 54.0, 67.0, 47.0, 80.0, 66.0, 87.0, 53.0, 86.0, 61.0, 43.0, 47.0, 41.0, 53.0, 61.0, 45.0, 77.0, 38.0, 84.0, 43.0, 52.0, 29.0, 60.0, 54.0, 65.0, 75.0]"
2025-03-13T16:53:05.124649,"[98.0, 76.0, 80.0, 104.0, 58.0, 71.0, 30.0, 52.0, 67.0, 51.0, 82.0, 71.0, 91.0, 58.0, 91.0, 65.0, 48.0, 48.0, 46.0, 58.0, 68.0, 51.0, 86.0, 43.0, 86.0, 49.0, 56.0, 32.0, 68.0, 60.0, 74.0, 79.0]"
