2025-03-11T17:49:15.116139,"[94.0, 91.0, 88.0, 91.0, 78.0, 83.0, 59.0, 83.0, 88.0, 75.0, 89.0, 88.0, 91.0, 84.0, 89.0, 84.0, 76.0, 81.0, 70.0, 79.0, 81.0, 76.0, 83.0, 66.0, 88.0, 72.0, 79.0, 52.0, 79.0, 77.0, 78.0, 86.0]"
2025-03-11T17:49:15.186997,"[91.0, 89.0, 89.0, 91.0, 79.0, 85.0, 59.0, 81.0, 85.0, 77.0, 90.0, 86.0, 89.0, 81.0, 88.0, 85.0, 76.0, 78.0, 70.0, 79.0, 81.0, 76.0, 88.0, 73.0, 88.0, 73.0, 80.0, 54.0, 80.0, 79.0, 82.0, 86.0]"
2025-03-11T17:49:15.256102,"[92.0, 87.0, 89.0, 90.0, 79.0, 84.0, 60.0, 82.0, 85.0, 76.0, 89.0, 85.0, 89.0, 79.0, 88.0, 84.0, 78.0, 76.0, 70.0, 78.0, 83.0, 75.0, 88.0, 72.0, 91.0, 75.0, 81.0, 58.0, 84.0, 81.0, 83.0, 86.0]"
2025-03-11T17:49:15.327332,"[96.0, 91.0, 90.0, 94.0, 82.0, 87.0, 61.0, 85.0, 88.0, 81.0, 92.0, 90.0, 92.0, 85.0, 92.0, 89.0, 79.0, 82.0, 74.0, 82.0, 84.0, 79.0, 91.0, 74.0, 93.0, 77.0, 84.0, 56.0, 85.0, 82.0, 85.0, 89.0]"
2025-03-11T17:49:15.397405,"[93.0, 89.0, 89.0, 90.0, 81.0, 84.0, 57.0, 82.0, 85.0, 76.0, 86.0, 86.0, 88.0, 82.0, 89.0, 84.0, 77.0, 77.0, 72.0, 80.0, 81.0, 75.0, 89.0, 73.0, 89.0, 74.0, 82.0, 55.0, 82.0, 81.0, 82.0, 85.0]"
2025-03-11T17:49:15.476139,"[92.0, 87.0, 89.0, 89.0, 77.0, 83.0, 59.0, 83.0, 86.0, 76.0, 90.0, 86.0, 87.0, 81.0, 89.0, 83.0, 75.0, 78.0, 70.0, 79.0, 80.0, 74.0, 85.0, 72.0, 89.0, 73.0, 80.0, 53.0, 80.0, 79.0, 82.0, 86.0]"
2025-03-11T17:49:15.556047,"[91.0, 89.0, 90.0, 91.0, 75.0, 82.0, 57.0, 79.0, 87.0, 75.0, 89.0, 83.0, 88.0, 78.0, 86.0, 83.0, 74.0, 80.0, 68.0, 77.0, 75.0, 71.0, 83.0, 65.0, 89.0, 71.0, 79.0, 52.0, 80.0, 78.0, 78.0, 87.0]"
2025-03-11T17:49:15.636045,"[91.0, 87.0, 86.0, 91.0, 79.0, 86.0, 61.0, 82.0, 84.0, 77.0, 87.0, 88.0, 89.0, 83.0, 89.0, 82.0, 79.0, 77.0, 73.0, 82.0, 86.0, 78.0, 91.0, 77.0, 87.0, 78.0, 82.0, 63.0, 84.0, 82.0, 87.0, 85.0]"
2025-03-11T17:49:15.707422,"[91.0, 88.0, 87.0, 90.0, 79.0, 82.0, 57.0, 82.0, 86.0, 76.0, 87.0, 86.0, 88.0, 81.0, 88.0, 83.0, 77.0, 78.0, 70.0, 79.0, 79.0, 74.0, 86.0, 71.0, 90.0, 74.0, 81.0, 54.0, 81.0, 79.0, 80.0, 85.0]"
2025-03-11T17:49:15.776113,"[93.0, 89.0, 88.0, 91.0, 74.0, 81.0, 55.0, 82.0, 87.0, 75.0, 87.0, 84.0, 88.0, 78.0, 85.0, 79.0, 69.0, 78.0, 65.0, 74.0, 72.0, 68.0, 81.0, 64.0, 89.0, 67.0, 73.0, 47.0, 75.0, 74.0, 74.0, 83.0]"
